outcode,latitude,longitude,region
BN51,50.8048170000001,-0.058645000000000065,South East
BN52,50.83385769035567,-0.16803890862944285,South East
BN6,50.92973685988019,-0.15224012814371243,South East
BN7,50.878418110460544,0.003250349790794992,South East
BN8,50.912712232142916,0.05074708452380954,South East
BN88,50.82688924324328,-0.14056797297297305,South East
BN9,50.79523952952032,0.027298055350553543,South East
BN95,50.823154,-0.330024,South East
BN99,50.82245283491455,-0.35008486527514576,South East
BR1,51.4107212187201,0.019459085959884995,London
BR2,51.39036391205662,0.02163697943262402,London
BR3,51.403256709737,-0.03190098754037848,London
BR4,51.37556304515038,-0.00998036789297654,London
BR5,51.38920140060922,0.10251778903274963,London
BR6,51.367842997092794,0.09283497441860492,London
BR7,51.41177715258853,0.05875451771117147,London
BR8,51.39759617073173,0.1749715638450495,South East
BS0,51.343878,-2.957029,South West
BS1,51.45390060505175,-2.5921390212399613,South West
BS10,51.5062403645161,-2.6117581817204254,South West
BS11,51.49883655555556,-2.6784124444444455,South West
BS12,51.555454631551974,-2.558969265159301,South West
BS13,51.41204124366698,-2.611411744270206,South West
BS14,51.41311185391769,-2.5637288220451544,South West
BS15,51.454910005100196,-2.496326889368382,South West
BS16,51.48562386968292,-2.512390905645776,South West
BS17,51.52887556012085,-2.442244781268882,South West
BS18,51.36747932528997,-2.5838602672853863,South West
BS19,51.40753926105812,-2.769878771032091,South West
BS2,51.4589694487704,-2.5809834569672185,South West
BS20,51.480647632253564,-2.7571786963562745,South West
BS21,51.43625690146704,-2.8513342872117198,South West
BS22,51.36062962975111,-2.9282585766710283,South West
BS23,51.34351799619055,-2.9692274685714373,South West
BS24,51.331744748645775,-2.9241909263271992,South West
BS25,51.3210283157895,-2.8264488479532175,South West
BS26,51.28044187628868,-2.8504256323024024,South West
BS27,51.2728630247935,-2.7732592176308537,South West
BS28,51.22724900819671,-2.81526951229508,South West
BS29,51.33216724528302,-2.8770645031446556,South West
BS3,51.43861609805453,-2.6034324731517517,South West
BS30,51.44636354665216,-2.475304,South West
BS31,51.40975497652602,-2.493376410798123,South West
BS32,51.541502763948785,-2.561052560801157,South West
BS34,51.52494071269838,-2.567089133333331,South West
BS35,51.597625724825384,-2.5472674895314076,South West
BS36,51.52614424742257,-2.487942518900346,South West
BS37,51.54121579653347,-2.4187462667671467,South West
BS39,51.32810565573778,-2.53284442076503,South West
BS4,51.4363972485874,-2.5646066158192133,South West
BS40,51.34705293908052,-2.6938899114942556,South West
BS41,51.42361116799994,-2.6547185960000057,South West
BS48,51.426463586309715,-2.749824694444446,South West
BS49,51.382778174117625,-2.8161609694117584,South West
BS5,51.46220808634931,-2.5528777930158726,South West
BS6,51.470075637546934,-2.5980929228624334,South West
BS7,51.48676486244028,-2.581213281100481,South West
BS77,51.43870700000001,-2.6015289999999998,South West
BS8,51.457435652631496,-2.6193535927125473,South West
BS80,51.503514105263136,-2.6130813157894734,South West
BS9,51.48846356368116,-2.625194309778137,South West
BS98,51.459365235294115,-2.5846139999999997,South West
BS99,51.45776140787391,-2.575374093891954,South West
BT1,54.5994823041928,-5.928438890276517,Northern Ireland
BT10,54.559853347107385,-5.986722458677687,Northern Ireland
BT11,54.576349742700685,-5.998151372262772,Northern Ireland
BT12,54.59243788416582,-5.956369347502671,Northern Ireland
BT13,54.605735864247315,-5.958388053763441,Northern Ireland
BT14,54.621082391581574,-5.962390424744892,Northern Ireland
BT15,54.62194325119061,-5.931673133333334,Northern Ireland
BT16,54.590833915167124,-5.797956290488444,Northern Ireland
BT17,54.55323833493586,-6.019764729166668,Northern Ireland
BT18,54.640409563785965,-5.823795853909461,Northern Ireland
BT19,54.650726163440666,-5.657791179928307,Northern Ireland
BT2,54.593448428994016,-5.930691618343194,Northern Ireland
BT20,54.658970318235795,-5.6655560250298045,Northern Ireland
BT21,54.641260720848045,-5.5478072473498266,Northern Ireland
BT22,54.50392248494451,-5.5152937052297935,Northern Ireland
BT23,54.57167079143566,-5.707442357178854,Northern Ireland
BT24,54.417776175746944,-5.871916156414761,Northern Ireland
BT25,54.396443982421935,-6.11507903320312,Northern Ireland
BT26,54.45434255555557,-6.065173232026147,Northern Ireland
BT27,54.509045795388985,-6.024650677233428,Northern Ireland
BT28,54.521996900359014,-6.084188936265715,Northern Ireland
BT29,54.62076484090909,-6.197572300505052,Northern Ireland
